ticker,entry_date,exit_date,entry_price,exit_price,entry_score,final_pct,days_held,exit_reason,won
T,2025-03-31,2025-10-23,26.81277084350586,24.08264923095703,73.98,-10.18,206,stop,False
BE,2025-09-30,2025-11-13,84.56999969482422,103.55000305175781,97.41,22.44,44,trail,True
VICI,2025-03-31,2025-11-19,30.73404312133789,28.227252960205078,73.54,-8.16,233,stop,False
LUMN,2025-10-31,2025-11-28,10.279999732971191,8.109999656677246,98.27,-21.11,28,stop,False
BE,2025-10-31,2025-11-28,132.16000366210938,109.23999786376953,95.15,-17.34,28,stop,False
GSAT,2025-11-28,2026-01-08,60.75,59.7599983215332,88.34,-1.63,41,trail,False
LITE,2025-11-28,2026-01-16,325.1600036621094,324.25,95.78,-0.28,49,trail,False
PLTR,2025-04-30,2026-01-30,118.44000244140625,146.58999633789062,84.31,23.77,275,trail,True
RKLB,2025-12-31,2026-02-05,69.76000213623047,66.31999969482422,92.42,-4.93,36,trail,False
MKSI,2026-01-30,2026-03-06,235.18301391601562,210.0,93.9,-10.71,35,stop,False
MU,2025-12-31,2026-03-26,285.2901611328125,355.31072998046875,82.95,24.54,85,trail,True
EXC,2025-03-31,2026-05-07,44.49633026123047,44.40999984741211,79.55,-0.19,402,trail,False
ASTS,2024-06-28,2026-05-08,11.609999656677246,75.05000305175781,84.93,546.43,679,end-of-test,True
RGTI,2024-11-29,2026-05-08,3.049999952316284,18.940000534057617,105.7,520.98,525,end-of-test,True
CIEN,2025-09-30,2026-05-08,145.6699981689453,548.1099853515625,90.03,276.27,220,end-of-test,True
SATS,2025-12-31,2026-05-08,108.69999694824219,127.1500015258789,88.71,16.97,128,end-of-test,True
AAOI,2026-02-27,2026-05-08,84.2300033569336,148.94000244140625,101.15,76.83,70,end-of-test,True
LITE,2026-02-27,2026-05-08,700.9099731445312,903.7999877929688,98.57,28.95,70,end-of-test,True
INTC,2026-04-30,2026-05-08,94.4800033569336,124.91999816894531,104.56,32.22,8,end-of-test,True
